Medicine Name,Active Ingredient,Infant (0-1 yr),Child (1-12 yr),Adolescent (12-18 yr),Adult (18-65 yr),Elderly (65+ yr)
Paracetamol 1,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 1,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 1,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 1,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 1,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 2,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 2,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 2,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 2,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 2,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 3,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 3,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 3,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 3,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 3,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 4,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 4,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 4,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 4,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 4,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 5,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 5,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
Amoxicillin 5,Amoxicillin,20-40 mg/kg/day divided,20-40 mg/kg/day divided,500 mg every 8 hrs,500-1000 mg every 8 hrs,Adjust in renal impairment
Metformin 5,Metformin,Not recommended,Not recommended,500 mg twice daily,500-1000 mg twice daily,Use with caution in renal impairment
Atorvastatin 5,Atorvastatin,Not recommended,Not recommended,10 mg once daily,10-80 mg once daily,Start at lower dose
Paracetamol 6,Acetaminophen,10 mg/kg every 6 hrs,10-15 mg/kg every 4-6 hrs,500 mg every 6 hrs,500-1000 mg every 4-6 hrs,Reduce dose in liver disease
Ibuprofen 6,Ibuprofen,Not recommended,5-10 mg/kg every 6-8 hrs,200-400 mg every 4-6 hrs,200-600 mg every 4-6 hrs,Avoid in kidney disease
