Medicine Name,Active Ingredient,Elderly (65+ yr),Warnings,Drug Interactions
Paracetamol 1,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 1,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 1,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Metformin 1,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 1,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 2,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 2,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 2,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 2,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 2,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 3,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 3,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Amoxicillin 3,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 3,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 3,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 4,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 4,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Amoxicillin 4,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Metformin 4,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 4,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 5,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 5,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Amoxicillin 5,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 5,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Atorvastatin 5,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 6,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 6,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Amoxicillin 6,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Metformin 6,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 6,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Paracetamol 7,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 7,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Amoxicillin 7,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 7,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 7,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 8,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 8,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 8,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 8,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 8,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 9,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 9,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Amoxicillin 9,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 9,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Atorvastatin 9,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Paracetamol 10,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
